# linedensity[i]	correlation[i]/1024	correlation_fftw[i]	FourierComp_fftw[i]
-0.188634	0.0652631	0.0652631	1.03392
0.164744	0.0708289	0.0708289	3.21878
0.173936	0.0753509	0.0753509	2.65593
0.20768	0.078955	0.078955	0.554164
0.407105	0.0815921	0.0815921	8.52651
0.567018	0.0832049	0.0832049	7.30641
0.63514	0.0835505	0.0835505	7.09867
0.687427	0.0834461	0.0834461	0.35198
0.720793	0.0819833	0.0819833	2.39669
0.916124	0.079642	0.079642	15.1948
0.978111	0.0761634	0.0761634	0.238442
1.07143	0.0722403	0.0722403	5.11654
1.08428	0.0678236	0.0678236	6.93851
1.15461	0.0625341	0.0625341	2.96609
1.13802	0.0567283	0.0567283	2.12587
1.00977	0.0505322	0.0505322	2.11969
1.00561	0.0438538	0.0438538	4.2908
0.991348	0.0366957	0.0366957	0.277892
0.946419	0.0296911	0.0296911	8.09077
0.89993	0.0226208	0.0226208	6.59979
0.738229	0.0156211	0.0156211	4.5926
0.708038	0.00874813	0.00874813	5.80598
0.701002	0.00172831	0.00172831	11.5063
0.563208	-0.00453182	-0.00453182	4.58009
0.275149	-0.010565	-0.010565	10.8376
0.313028	-0.0161602	-0.0161602	3.33186
-0.00437682	-0.0213289	-0.0213289	5.93672
0.0760256	-0.0255922	-0.0255922	1.46467
-0.0616622	-0.0294016	-0.0294016	5.53526
-0.281728	-0.0327894	-0.0327894	2.76928
-0.313925	-0.0355853	-0.0355853	6.01567
-0.410787	-0.0374368	-0.0374368	2.35067
-0.529316	-0.0387146	-0.0387146	4.47965
-0.541276	-0.0391756	-0.0391756	0.0595012
-0.829093	-0.0396039	-0.0396039	0.946109
-0.709404	-0.0389127	-0.0389127	3.97239
-0.789314	-0.0372949	-0.0372949	15.2052
-0.848624	-0.0356668	-0.0356668	1.38677
-0.927629	-0.0334904	-0.0334904	1.3047
-0.987906	-0.0307094	-0.0307094	3.19981
-0.796859	-0.0274659	-0.0274659	7.87935
-0.973494	-0.0234048	-0.0234048	1.03731
-0.814526	-0.0197759	-0.0197759	13.6308
-0.704105	-0.0157243	-0.0157243	1.91218
-0.626773	-0.0110618	-0.0110618	0.324484
-0.67395	-0.0059997	-0.0059997	0.154755
-0.59563	-0.00150502	-0.00150502	1.15813
-0.516242	0.0031859	0.0031859	10.6918
-0.298505	0.0078437	0.0078437	21.4658
-0.170429	0.0129745	0.0129745	3.0449
-0.00772551	0.0175125	0.0175125	0.728046
0.202084	0.0222691	0.0222691	2.09762
0.213043	0.0264965	0.0264965	5.67437
0.348747	0.0312719	0.0312719	2.49463
0.423918	0.0355147	0.0355147	6.77112
0.607522	0.0391938	0.0391938	0.736557
0.556501	0.0426323	0.0426323	3.98611
0.758759	0.0460459	0.0460459	7.33905
0.906078	0.0492492	0.0492492	8.18835
0.849279	0.0511426	0.0511426	7.9452
0.9768	0.0533657	0.0533657	1.78062
0.973418	0.0550472	0.0550472	4.45544
0.985084	0.0561234	0.0561234	0.90941
1.1221	0.0565002	0.0565002	7.74505
1.07873	0.0569949	0.0569949	5.04744
1.08279	0.0565002	0.0565002	7.88125e+133
1.04046	0.0561234	0.0561234	7.88125e+133
1.06253	0.0550472	0.0550472	7.88125e+133
0.935464	0.0533657	0.0533657	7.88125e+133
0.865136	0.0511426	0.0511426	7.88125e+133
0.797729	0.0492492	0.0492492	7.88125e+133
0.618636	0.0460459	0.0460459	7.88125e+133
0.560121	0.0426323	0.0426323	7.88125e+133
0.47152	0.0391938	0.0391938	7.88125e+133
0.357417	0.0355147	0.0355147	7.88125e+133
0.413765	0.0312719	0.0312719	7.88125e+133
0.117532	0.0264965	0.0264965	7.88125e+133
0.08664	0.0222691	0.0222691	7.88125e+133
-0.00365559	0.0175125	0.0175125	7.88125e+133
